sample1;;
Wavelength (nm);Abs;
499,9921265;0,1209040731;
498,9297485;0,1212905496;
498,0189209;0,1215846837;
496,9560852;0,121767886;
496,0448914;0,1222706512;
494,9815979;0,1226302609;
494,0700378;0,1227038428;
493,0063477;0,1231952831;
491,9423828;0,1234460995;
491,0302734;0,1239684746;
489,9658813;0,1241199598;
489,0533752;0,1242327988;
487,9885864;0,1243508011;
487,0757141;0,1247234568;
486,010498;0,1250470281;
484,9450378;0,1250877678;
484,0316162;0,1255157888;
482,9657288;0,1260935813;
482,0519409;0,1265073866;
480,9856262;0,1269887984;
480,0714722;0,1277219504;
479,0047607;0,1284079254;
477,9378052;0,1293874234;
477,0231018;0,1300595403;
475,955719;0,1311703622;
475,0406494;0,1325134486;
473,9728699;0,1338220537;
473,0574646;0,13493976;
471,9892578;0,1360667944;
471,0734863;0,1372718811;
470,0048523;0,1391776353;
468,9360352;0,1405503005;
468,0197144;0,1418701708;
466,95047;0,1432290673;
466,033783;0,1440588534;
464,9641418;0,1458344758;
464,0471191;0,1472943872;
462,9770508;0,1485049278;
462,0596924;0,1495201737;
460,9892273;0,1504951566;
460,0715027;0,1515095085;
459,0006409;0,1532369256;
457,9295654;0,1545420736;
457,011322;0,1556869149;
455,9398193;0,1569938809;
455,0212402;0,158237204;
453,9493408;0,1599591225;
453,030426;0,1615842432;
451,9581299;0,1633149236;
451,0388794;0,1648001373;
449,9661865;0,1667768806;
449,0465698;0,1687603146;
447,9735107;0,1710180491;
447,0535583;0,173087135;
445,9801025;0,175738588;
445,0598145;0,1776409894;
443,9859619;0,1806099415;
443,0653687;0,1836373359;
441,9911194;0,1867538095;
441,0701599;0,1897178143;
439,9955444;0,1931226403;
439,0742798;0,1962423027;
437,9992371;0,2004919648;
436,9240417;0,2046839595;
436,0022583;0,2083746195;
434,9266357;0,2129633427;
434,0045471;0,2162334174;
432,9285583;0,2205474973;
432,0061035;0,2250232697;
430,9297485;0,2301231176;
430,0069885;0,2347597331;
428,9302673;0,2395845503;
428,0071716;0,2436601371;
426,9300537;0,2494056225;
426,0066528;0,2544904947;
424,9291687;0,260281831;
424,0054626;0,2648613751;
422,9275818;0,2706426084;
422,00354;0,275781244;
420,9253235;0,2820912302;
420,0009766;0,2876368165;
419,0764771;0,2924958766;
417,9977112;0,2984083891;
417,072876;0,3031868637;
