1;;2;;3;;4;;5;;6;;7;;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;
566,9663696;0,02312121354;566,9663696;0,02846460044;566,9663696;0,01006458327;566,9663696;0,004308169708;566,9663696;0,005607745145;566,9663696;0,01112957671;566,9663696;0,02021437697;
566,0695801;0,02307267301;566,0695801;0,02853677236;566,0695801;0,01015957072;566,0695801;0,004539475311;566,0695801;0,005814033095;566,0695801;0,01163864508;566,0695801;0,02062512934;
565,0231323;0,02307474799;565,0231323;0,02857271023;565,0231323;0,01005170774;565,0231323;0,004751040135;565,0231323;0,005924758036;565,0231323;0,01174988132;565,0231323;0,02112156898;
563,9763794;0,02319883741;563,9763794;0,02874572761;563,9763794;0,01057447307;563,9763794;0,00506708771;563,9763794;0,006485534366;563,9763794;0,01228034031;563,9763794;0,02130091377;
562,9293213;0,02342731506;562,9293213;0,02915170603;562,9293213;0,01091113966;562,9293213;0,005517837591;562,9293213;0,006873743143;562,9293213;0,0125913918;562,9293213;0,02199749276;
562,0316772;0,02348709665;562,0316772;0,02902587689;562,0316772;0,01088478137;562,0316772;0,005626363214;562,0316772;0,006942652166;562,0316772;0,01306437515;562,0316772;0,02246993408;
560,9841919;0,02383696288;560,9841919;0,02939455584;560,9841919;0,01122025494;560,9841919;0,006085386034;560,9841919;0,007515226956;560,9841919;0,013639207;560,9841919;0,0230693426;
559,9364014;0,02379392274;559,9364014;0,02920619026;559,9364014;0,01145641506;559,9364014;0,006045669783;559,9364014;0,008038452826;559,9364014;0,01396267395;559,9364014;0,0234358944;
559,0380859;0,02387426607;559,0380859;0,02977397107;559,0380859;0,01172988117;559,0380859;0,006554381456;559,0380859;0,008180080913;559,0380859;0,01443790365;559,0380859;0,02406648919;
557,9898071;0,02378839999;557,9898071;0,029803304;557,9898071;0,01176998857;557,9898071;0,006643373054;557,9898071;0,008419132791;557,9898071;0,01495678816;557,9898071;0,02451867238;
556,9412842;0,02399316803;556,9412842;0,03008826822;556,9412842;0,01219426002;556,9412842;0,007175101899;556,9412842;0,009085980244;556,9412842;0,01538517792;556,9412842;0,02502967604;
556,0423584;0,02430932969;556,0423584;0,03024482355;556,0423584;0,01253695413;556,0423584;0,007287622895;556,0423584;0,009273246862;556,0423584;0,01602319814;556,0423584;0,02554339543;
554,9933472;0,02420506626;554,9933472;0,0305897072;554,9933472;0,01262779348;554,9933472;0,00770737743;554,9933472;0,009935317561;554,9933472;0,01635032706;554,9933472;0,02627428994;
553,9440308;0,02428627945;553,9440308;0,0306659285;553,9440308;0,01288570557;553,9440308;0,007996737957;553,9440308;0,01020279154;553,9440308;0,01687266119;553,9440308;0,02676142938;
553,0444336;0,02421138808;553,0444336;0,03060806729;553,0444336;0,01308745053;553,0444336;0,008158767596;553,0444336;0,01060407422;553,0444336;0,01738848165;553,0444336;0,02703691274;
551,9946899;0,02446529269;551,9946899;0,03109016642;551,9946899;0,01340348553;551,9946899;0,008701758459;551,9946899;0,01109173335;551,9946899;0,01787365414;551,9946899;0,02788160555;
550,9446411;0,02455414273;550,9446411;0,03127058968;550,9446411;0,01398007665;550,9446411;0,009282450192;550,9446411;0,0117035266;550,9446411;0,01879707724;550,9446411;0,02858990803;
550,0444336;0,02477656491;550,0444336;0,03171315789;550,0444336;0,01421097573;550,0444336;0,00958048366;550,0444336;0,01202209573;550,0444336;0,01925914735;550,0444336;0,02926632948;
