base;;ex;;
Wavelength (nm);Abs;Wavelength (nm);Abs;
599,9916992;0,175006628;599,9916992;0,3534352481;
598,9547119;0,1744701415;598,9547119;0,3560559452;
598,0656738;0,1739771515;598,0656738;0,3599285483;
597,0281372;0,1734298468;597,0281372;0,3630978763;
595,9903564;0,1727585644;595,9903564;0,36767748;
594,9522705;0,1722386926;594,9522705;0,3731479049;
594,0623169;0,1718334258;594,0623169;0,377556026;
593,0236816;0,1712865531;593,0236816;0,3837279677;
591,9848022;0,1705612838;591,9848022;0,3909626007;
590,9456787;0,1702969521;590,9456787;0,4019785523;
590,0547485;0,1694547087;590,0547485;0,4122455716;
589,0150757;0,1688597053;589,0150757;0,4252086878;
587,9751587;0,1684991717;587,9751587;0,4392971992;
586,9349365;0,1677675098;586,9349365;0,4574842751;
586,0430908;0,1674899459;586,0430908;0,4776543081;
585,0023193;0,1664790511;585,0023193;0,5059494376;
583,9613037;0,1656080782;583,9613037;0,5379638076;
583,0687866;0,1652542204;583,0687866;0,5668914914;
582,0272827;0,1646911204;582,0272827;0,6041787267;
580,9854736;0,1639779061;580,9854736;0,6475558281;
579,9434204;0,1633503586;579,9434204;0,6972368956;
579,0499878;0,1626037061;579,0499878;0,7499607205;
578,0073853;0,1619024426;578,0073853;0,806368947;
576,9645386;0,1611170322;576,9645386;0,8684802651;
576,0704346;0,1604101956;576,0704346;0,9203734994;
575,0270996;0,1597072184;575,0270996;0,9796558619;
573,9834595;0,1590245813;573,9834595;1,034268618;
572,9395752;0,1582200676;572,9395752;1,08868134;
572,0446167;0,1574402452;572,0446167;1,130135775;
571,0001831;0,1568232477;571,0001831;1,169810653;
569,9555054;0,1559573263;569,9555054;1,203844547;
569,0598755;0,1556296349;569,0598755;1,220297456;
568,0147095;0,1547861993;568,0147095;1,234041095;
566,9692383;0,1535645723;566,9692383;1,243329167;
566,072937;0,1528911889;566,072937;1,248241782;
565,0270386;0,1520183682;565,0270386;1,2496804;
563,980835;0,1511784941;563,980835;1,249832273;
562,9343262;0,1503808945;562,9343262;1,253281236;
562,0371704;0,1495484114;562,0371704;1,255275369;
560,9902344;0,1483989358;560,9902344;1,265271664;
559,9429932;0,1474131644;559,9429932;1,283661127;
559,045166;0,1465003043;559,045166;1,307294726;
557,9974365;0,1455076039;557,9974365;1,342130661;
556,9494629;0,1445582211;556,9494629;1,38716495;
556,0509644;0,1437316984;556,0509644;1,433898449;
555,0025024;0,1425602138;555,0025024;1,516843796;
553,9537964;0,1416616589;553,9537964;1,59444046;
553,0546875;0,140747726;553,0546875;1,664061189;
552,0054321;0,1398270726;552,0054321;1,758575082;
550,9559937;0,1389778107;550,9559937;1,852540016;
550,0562134;0,1382235736;550,0562134;1,908890843;
549,0062866;0,1372195482;549,0062866;1,988395691;
547,9560547;0,1361735314;547,9560547;2,040164232;
547,0556641;0,135512054;547,0556641;2,077379704;
546,0049438;0,1347645819;546,0049438;2,092403173;
544,9540405;0,134148255;544,9540405;2,106893539;
544,0529785;0,1336976141;544,0529785;2,124692202;
543,0015869;0,1331498325;543,0015869;2,085798025;
541,9498901;0,1324334145;541,9498901;2,042348385;
541,0482178;0,1320115924;541,0482178;2,016207218;
539,9960938;0,1314691305;539,9960938;1,957875133;
538,9436646;0,1311636418;538,9436646;1,922527909;
538,0413818;0,1310800016;538,0413818;1,922297955;
536,9885254;0,1306734234;536,9885254;1,894765019;
535,9353638;0,1304318458;535,9353638;1,865793109;
535,0324707;0,1306788325;535,0324707;1,885661721;
533,9788818;0,1304786205;533,9788818;1,900711179;
532,9249878;0,130580321;532,9249878;1,933864474;
532,0214844;0,130696401;532,0214844;1,970998406;
530,9671631;0,1308992952;530,9671631;2,032269001;
530,0632324;0,1311088502;530,0632324;2,082136869;
529,0084839;0,1311699748;529,0084839;2,125758171;
527,9534302;0,131525293;527,9534302;2,190435886;
527,0488892;0,1317944974;527,0488892;2,24700737;
525,9934082;0,131709829;525,9934082;2,235511541;
524,9376221;0,1321572065;524,9376221;2,246756554;
524,0325317;0,1325605512;524,0325317;2,255569458;
522,9763184;0,1328916252;522,9763184;2,219379187;
522,0708008;0,1331243366;522,0708008;2,180925131;
521,0140991;0,1334810406;521,0140991;2,132492304;
519,9572144;0,1338667572;519,9572144;2,063594818;
519,0510864;0,1340829283;519,0510864;2,010916233;
517,9937134;0,1343697011;517,9937134;1,948220015;
516,9360962;0,1348879188;516,9360962;1,896499872;
516,0293579;0,1351738125;516,0293579;1,862652779;
514,9713135;0,1353684962;514,9713135;1,823609114;
514,064209;0,1355844885;514,064209;1,806134105;
513,0056763;0,1357972622;513,0056763;1,797139168;
511,9468994;0,1361086071;511,9468994;1,79801476;
511,0392151;0,1366241872;511,0392151;1,810140014;
509,980011;0,1366871297;509,980011;1,822092891;
509,0719299;0,1368437856;509,0719299;1,839098573;
508,0122681;0,1373226345;508,0122681;1,859246492;
506,9523621;0,1377717108;506,9523621;1,867972493;
506,0437012;0,1379142851;506,0437012;1,860872149;
504,9833679;0,1382377744;504,9833679;1,849267602;
504,0743103;0,1385874599;504,0743103;1,836298108;
503,0135498;0,13889575;503,0135498;1,803113341;
501,9525146;0,1391716748;501,9525146;1,760388374;
501,0428772;0,1394187957;501,0428772;1,713667989;
499,9814148;0,139652729;499,9814148;1,658757448;
499,0714111;0,1400047392;499,0714111;1,614406347;
498,0095215;0,1401779354;498,0095215;1,568349481;
496,9473877;0,1405994892;496,9473877;1,52802372;
496,0368042;0,140913412;496,0368042;1,492144346;
494,9742432;0,1413144618;494,9742432;1,467211485;
494,0632935;0,1416237354;494,0632935;1,448193192;
493,0003052;0,142087698;493,0003052;1,444416165;
491,9370728;0,1424248666;491,9370728;1,438513279;
491,0255432;0,1430760324;491,0255432;1,439501524;
489,9618835;0,143612057;489,9618835;1,441213489;
489,0499878;0,1439204067;489,0499878;1,436292171;
487,9859009;0,1444531083;487,9859009;1,431700587;
487,0736389;0,1449531764;487,0736389;1,426775575;
486,0091248;0,1455787569;486,0091248;1,411723018;
484,944397;0,1459636688;484,944397;1,389767289;
484,0315552;0,1469253153;484,0315552;1,370735049;
482,9664001;0,1480224431;482,9664001;1,340902686;
482,0532227;0,1488494575;482,0532227;1,32047689;
480,9876099;0,1495426446;480,9876099;1,288156986;
480,0740662;0,1505695879;480,0740662;1,26586318;
479,0080566;0,1519269049;479,0080566;1,241280556;
477,941803;0,1534779072;477,941803;1,224797726;
477,02771;0,1549040079;477,02771;1,213516951;
475,9610596;0,1564792097;475,9610596;1,207691908;
475,0466003;0,1579249203;475,0466003;1,202877164;
473,9795227;0,1599830389;473,9795227;1,201425791;
473,0647278;0,1617814153;473,0647278;1,20186317;
471,9972229;0,163580209;471,9972229;1,199161053;
470,9295044;0,165751487;470,9295044;1,19869566;
470,0141602;0,1672944278;470,0141602;1,19476378;
468,9460449;0,1693128943;468,9460449;1,189315915;
468,0303345;0,1714670807;468,0303345;1,180059075;
466,961792;0,1737735271;466,961792;1,174740195;
466,0457153;0,1758194864;466,0457153;1,164418697;
464,9767761;0,1779721528;464,9767761;1,150332212;
464,0603638;0,1799853295;464,0603638;1,146288991;
462,9910278;0,1822420359;462,9910278;1,136239052;
462,0742798;0,1844683439;462,0742798;1,129287601;
461,0045166;0,1866925806;461,0045166;1,121860743;
459,9345398;0,189291954;459,9345398;1,119278789;
459,0172424;0,1912946999;459,0172424;1,118862867;
457,9468689;0,1937355846;457,9468689;1,118206382;
457,0292358;0,1956573278;457,0292358;1,1148206;
455,9584656;0,198417604;455,9584656;1,114147305;
455,0404663;0,2013514489;455,0404663;1,117253184;
453,9692993;0,2037911266;453,9692993;1,114106536;
453,0509949;0,2059765458;453,0509949;1,111365676;
451,9794006;0,2088296264;451,9794006;1,108139873;
451,0607605;0,2119063735;451,0607605;1,103582382;
449,9888;0,2152209878;449,9888;1,097183704;
449,0697937;0,2179859132;449,0697937;1,092445135;
447,9974365;0,2211907804;447,9974365;1,087982893;
446,9248657;0,2240598351;446,9248657;1,084458232;
446,0053406;0,2277189493;446,0053406;1,081672311;
444,932373;0,2316942513;444,932373;1,079471231;
444,0125122;0,2350946218;444,0125122;1,078447223;
442,9391785;0,2388636023;442,9391785;1,076275826;
442,0189819;0,2420886159;442,0189819;1,076311588;
440,9452515;0,2469050586;440,9452515;1,07554543;
440,0247498;0,2519010901;440,0247498;1,074845195;
438,9506226;0,257148087;438,9506226;1,074303508;
438,0297546;0,2614765465;438,0297546;1,073301911;
436,9552612;0,2664649487;436,9552612;1,072741866;
436,0340881;0,2717928886;436,0340881;1,071025252;
434,959198;0,2788387239;434,959198;1,069815397;
434,0376892;0,2848116457;434,0376892;1,070157886;
