base;;ex;;
Wavelength (nm);Abs;Wavelength (nm);Abs;
496,9473877;0,1129491627;496,9473877;0,4079739749;
496,0368042;0,1129770353;496,0368042;0,4011396766;
494,9742432;0,1128490567;494,9742432;0,3953204453;
494,0632935;0,1126331389;494,0632935;0,3921260238;
493,0003052;0,1125137508;493,0003052;0,3904642165;
491,9370728;0,1128289849;491,9370728;0,3896168172;
491,0255432;0,1132198274;491,0255432;0,3897971809;
489,9618835;0,1127359495;489,9618835;0,3896206021;
489,0499878;0,1123652235;489,0499878;0,3890740573;
487,9859009;0,1124689057;487,9859009;0,3879402578;
487,0736389;0,1127194762;487,0736389;0,3868040442;
486,0091248;0,1123911068;486,0091248;0,3836716712;
484,944397;0,1116020828;484,944397;0,3787104487;
484,0315552;0,1123511717;484,0315552;0,37495175;
482,9664001;0,1127771288;482,9664001;0,369589597;
482,0532227;0,1127609834;482,0532227;0,3654574752;
480,9876099;0,1124944985;480,9876099;0,3595695198;
480,0740662;0,1126474962;480,0740662;0,3549261391;
479,0080566;0,1131011844;479,0080566;0,3501842618;
477,941803;0,1135597825;477,941803;0,3473176658;
477,02771;0,1140735596;477,02771;0,3456276953;
475,9610596;0,1147151962;475,9610596;0,3444583416;
475,0466003;0,1152130961;475,0466003;0,3439669013;
473,9795227;0,1160190254;473,9795227;0,3441457152;
473,0647278;0,1166625246;473,0647278;0,3442979157;
471,9972229;0,1173727736;471,9972229;0,3445523977;
470,9295044;0,1182900146;470,9295044;0,3446694613;
470,0141602;0,1189229339;470,0141602;0,3445537686;
468,9460449;0,1197908297;468,9460449;0,3440529108;
468,0303345;0,1206022277;468,0303345;0,3428741395;
466,961792;0,1217485294;466,961792;0,3419694602;
466,0457153;0,1226898655;466,0457153;0,3405529857;
464,9767761;0,1234098077;464,9767761;0,3384200633;
464,0603638;0,1243621409;464,0603638;0,3378562331;
462,9910278;0,1251328588;462,9910278;0,3364360332;
462,0742798;0,1259291172;462,0742798;0,3354949653;
461,0045166;0,1267068535;461,0045166;0,3346921504;
459,9345398;0,1277896911;459,9345398;0,3347123265;
459,0172424;0,1285535097;459,0172424;0,334813267;
457,9468689;0,1292229444;457,9468689;0,3352119029;
457,0292358;0,1297127753;457,0292358;0,3349456191;
455,9584656;0,130570814;455,9584656;0,3353668451;
455,0404663;0,1315444261;455,0404663;0,3360130787;
453,9692993;0,1323845387;453,9692993;0,335850209;
453,0509949;0,1329404861;453,0509949;0,335765034;
451,9794006;0,1340253651;451,9794006;0,3354819417;
451,0607605;0,1348459274;451,0607605;0,3348961174;
449,9888;0,1358154565;449,9888;0,3340545893;
449,0697937;0,1364584714;449,0697937;0,3335699141;
447,9974365;0,1372951418;447,9974365;0,332996875;
446,9248657;0,1381829679;446,9248657;0,3325619102;
446,0053406;0,1390934289;446,0053406;0,3322190046;
444,932373;0,1400753856;444,932373;0,3321355283;
444,0125122;0,1408769637;444,0125122;0,3320501149;
442,9391785;0,1416907012;442,9391785;0,3321400285;
442,0189819;0,14232108;442,0189819;0,332138598;
440,9452515;0,1435635686;440,9452515;0,3322551548;
440,0247498;0,1446921974;440,0247498;0,3323885798;
438,9506226;0,1459297985;438,9506226;0,3324453831;
438,0297546;0,1467446536;438,0297546;0,3324930072;
436,9552612;0,1476848722;436,9552612;0,3324356079;
436,0340881;0,1487464458;436,0340881;0,3319746554;
434,959198;0,1499598622;434,959198;0,3319231868;
434,0376892;0,1512002647;434,0376892;0,3318600059;
432,9624023;0,1525042653;432,9624023;0,3320181668;
432,0405884;0,1535093933;432,0405884;0,3321748376;
430,9649353;0,1547145247;430,9649353;0,3325552642;
430,0427856;0,156160295;430,0427856;0,3331967592;
428,9667664;0,1577058285;428,9667664;0,3342247903;
428,044281;0,1591844708;428,044281;0,3350023031;
426,9678955;0,1605327576;426,9678955;0,3359408677;
426,045105;0,1617156267;426,045105;0,3368779123;
424,9683228;0,1635034084;424,9683228;0,3382997513;
424,0451965;0,1651350409;424,0451965;0,3399507105;
422,9680481;0,1669848859;422,9680481;0,3413078189;
422,0446167;0,1682046056;422,0446167;0,342618525;
420,9671021;0,1700169593;420,9671021;0,3441933095;
420,0433655;0,1715362668;420,0433655;0,3459718823;
418,9654541;0,1734454334;418,9654541;0,3479778767;
418,0414124;0,1747507602;418,0414124;0,3499262333;
416,9631348;0,1762740165;416,9631348;0,352396667;
416,0387878;0,1770685762;416,0387878;0,3536444008;
414,960144;0,1786157787;414,960144;0,3566984534;
414,0354614;0,1803889871;414,0354614;0,3602347374;
412,9564819;0,1822206229;412,9564819;0,3644882441;
412,0314941;0,1839056015;412,0314941;0,3684312701;
410,9521484;0,1857580394;410,9521484;0,3733894527;
410,026825;0,1874752045;410,026825;0,3774439394;
408,9471436;0,1902128756;408,9471436;0,3854518831;
408,0215149;0,1928969622;408,0215149;0,3929357827;
406,9414673;0,1961327791;406,9414673;0,4021227062;
406,0155334;0,1989385784;406,0155334;0,4105146229;
404,9351196;0,202225253;404,9351196;0,4206819236;
404,0089111;0,2053567767;404,0089111;0,431524992;
402,9281311;0,2106589675;402,9281311;0,448274523;
402,0015869;0,215140596;402,0015869;0,4639089108;
401,0749207;0,2200330496;401,0749207;0,4795839489;
399,9936523;0,2257833928;399,9936523;0,4997268021;

base;
base
Collection Time: 15.10.2024 15:18:34
Operator Name  :
Scan Software Version: 3.00(339)
Parameter List :
Instrument                        Cary 50
Instrument Version                3,00
Start (nm)                        600,0
Stop (nm)                         400,0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600,00
UV-Vis Data Interval (nm)         1,00
UV-Vis Ave. Time (sec)            0,1000
Beam Mode                         Dual Beam
Baseline Correction               Off
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 15.10.2024 10:35:30
Method Modifications:
UVVIS SAT Changed: 15.10.2024 15:17:35, Old:0,0125, New:0,1000
Common SAT Changed: 15.10.2024 15:17:35, Old:0,0125, New:0,1000
X Start nm Changed: 15.10.2024 15:17:38, Old:  800,0, New:  600,0
X Stop nm Changed: 15.10.2024 15:17:38, Old:  200,0, New:  400,0
Common Interval nm Changed: 15.10.2024 15:17:38, Old:     5,00, New:     1,00
End Method Modifications
<Current Wavelength> , 401,1

ex;
ex
Collection Time: 15.10.2024 15:20:14
Operator Name  :
Scan Software Version: 3.00(339)
Parameter List :
Instrument                        Cary 50
Instrument Version                3,00
Start (nm)                        600,0
Stop (nm)                         400,0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600,00
UV-Vis Data Interval (nm)         1,00
UV-Vis Ave. Time (sec)            0,1000
Beam Mode                         Dual Beam
Baseline Correction               Off
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 15.10.2024 10:35:30
Method Modifications:
UVVIS SAT Changed: 15.10.2024 15:17:35, Old:0,0125, New:0,1000
Common SAT Changed: 15.10.2024 15:17:35, Old:0,0125, New:0,1000
X Start nm Changed: 15.10.2024 15:17:38, Old:  800,0, New:  600,0
X Stop nm Changed: 15.10.2024 15:17:38, Old:  200,0, New:  400,0
Common Interval nm Changed: 15.10.2024 15:17:38, Old:     5,00, New:     1,00
End Method Modifications
<Current Wavelength> , 401,1

