base;;ex;;
Wavelength (nm);Abs;Wavelength (nm);Abs;
599,9916992;0,1670315415;599,9916992;0,3556567132;
598,9547119;0,1664239913;598,9547119;0,3581831455;
598,0656738;0,1660814881;598,0656738;0,3613012135;
597,0281372;0,1654868424;597,0281372;0,3647835851;
595,9903564;0,1648966223;595,9903564;0,3698530495;
594,9522705;0,1646208912;594,9522705;0,374692589;
594,0623169;0,1642477512;594,0623169;0,3794339299;
593,0236816;0,1638296545;593,0236816;0,3852812052;
591,9848022;0,1633556038;591,9848022;0,3931850195;
590,9456787;0,1625674516;590,9456787;0,4041035175;
590,0547485;0,1620113999;590,0547485;0,4145218134;
589,0150757;0,1616276652;589,0150757;0,4276427031;
587,9751587;0,1611925513;587,9751587;0,4418016076;
586,9349365;0,1608018577;586,9349365;0,4587618709;
586,0430908;0,1603064984;586,0430908;0,4790299833;
585,0023193;0,1594689935;585,0023193;0,5077368021;
583,9613037;0,1591138244;583,9613037;0,5385420918;
583,0687866;0,1584022045;583,0687866;0,5696638823;
582,0272827;0,1579126716;582,0272827;0,6053238511;
580,9854736;0,157099098;580,9854736;0,6504352093;
579,9434204;0,1566907018;579,9434204;0,7002698183;
579,0499878;0,1558077782;579,0499878;0,7496063709;
578,0073853;0,1550116688;578,0073853;0,8070532084;
576,9645386;0,1544405967;576,9645386;0,8688015342;
576,0704346;0,1537419409;576,0704346;0,9211513996;
575,0270996;0,1530317515;575,0270996;0,9825437069;
573,9834595;0,1524260193;573,9834595;1,036595583;
572,9395752;0,1514695883;572,9395752;1,090857625;
572,0446167;0,1510985345;572,0446167;1,134437323;
571,0001831;0,150025025;571,0001831;1,174470782;
569,9555054;0,1497268081;569,9555054;1,208002925;
569,0598755;0,1490990669;569,0598755;1,224819779;
568,0147095;0,1482848823;568,0147095;1,239147902;
566,9692383;0,1473707855;566,9692383;1,247585773;
566,072937;0,1465459019;566,072937;1,252663374;
565,0270386;0,1458230913;565,0270386;1,253623009;
563,980835;0,1450098604;563,980835;1,255146861;
562,9343262;0,1442316622;562,9343262;1,256081223;
562,0371704;0,143548578;562,0371704;1,261108994;
560,9902344;0,1425891221;560,9902344;1,273434281;
559,9429932;0,1416667104;559,9429932;1,292509437;
559,045166;0,1407527328;559,045166;1,312197447;
557,9974365;0,1398537606;557,9974365;1,349960327;
556,9494629;0,1389469802;556,9494629;1,396821618;
556,0509644;0,1380347162;556,0509644;1,444147229;
555,0025024;0,1369432658;555,0025024;1,517569423;
553,9537964;0,1360216141;553,9537964;1,601170659;
553,0546875;0,1352321208;553,0546875;1,667135477;
552,0054321;0,1341792792;552,0054321;1,766708255;
550,9559937;0,1332170814;550,9559937;1,854338408;
550,0562134;0,1325518787;550,0562134;1,917840481;
549,0062866;0,1316667795;549,0062866;1,988170266;
547,9560547;0,1306259185;547,9560547;2,051438808;
547,0556641;0,1298951507;547,0556641;2,078989744;
546,0049438;0,1291897893;546,0049438;2,104224682;
544,9540405;0,1287900656;544,9540405;2,106841803;
544,0529785;0,1282826215;544,0529785;2,12862277;
543,0015869;0,1276209205;543,0015869;2,094988108;
541,9498901;0,1269158423;541,9498901;2,047777414;
541,0482178;0,1266264319;541,0482178;2,028888702;
539,9960938;0,1262094826;539,9960938;1,963454008;
538,9436646;0,1260868907;538,9436646;1,933668971;
538,0413818;0,126042366;538,0413818;1,927803993;
536,9885254;0,1256305128;536,9885254;1,898467064;
535,9353638;0,1255505979;535,9353638;1,869883299;
535,0324707;0,1259006858;535,0324707;1,894236684;
533,9788818;0,1259000301;533,9788818;1,90622735;
532,9249878;0,1259641647;532,9249878;1,934680223;
532,0214844;0,1262695193;532,0214844;1,976444721;
530,9671631;0,1266437918;530,9671631;2,036960602;
530,0632324;0,1269915402;530,0632324;2,086012602;
529,0084839;0,126646772;529,0084839;2,132617474;
527,9534302;0,1271107048;527,9534302;2,201384068;
527,0488892;0,127516225;527,0488892;2,245354414;
525,9934082;0,1273230463;525,9934082;2,235044479;
524,9376221;0,1278678328;524,9376221;2,256531;
524,0325317;0,1282834858;524,0325317;2,252663136;
522,9763184;0,1286855042;522,9763184;2,226213455;
522,0708008;0,1290102303;522,0708008;2,192782879;
521,0140991;0,1294389963;521,0140991;2,131449699;
519,9572144;0,1297848076;519,9572144;2,067414522;
519,0510864;0,130038932;519,0510864;2,013454437;
517,9937134;0,1305051148;517,9937134;1,952205777;
516,9360962;0,1308339685;516,9360962;1,898256898;
516,0293579;0,1312589496;516,0293579;1,862576246;
514,9713135;0,1313896328;514,9713135;1,830475926;
514,064209;0,1318977028;514,064209;1,814126253;
513,0056763;0,1320691407;513,0056763;1,804757357;
511,9468994;0,1325381696;511,9468994;1,803847075;
511,0392151;0,1329090297;511,0392151;1,811755419;
509,980011;0,133059904;509,980011;1,830673337;
509,0719299;0,1331722289;509,0719299;1,847107649;
508,0122681;0,1333243251;508,0122681;1,862172008;
506,9523621;0,133833006;506,9523621;1,872280836;
506,0437012;0,1340583265;506,0437012;1,869757771;
504,9833679;0,1342399567;504,9833679;1,856107712;
504,0743103;0,1344956458;504,0743103;1,85051465;
503,0135498;0,1347133219;503,0135498;1,812990665;
501,9525146;0,1348520666;501,9525146;1,759818554;
501,0428772;0,1353046447;501,0428772;1,718412161;
499,9814148;0,1354906261;499,9814148;1,662881613;
499,0714111;0,135690406;499,0714111;1,622711897;
498,0095215;0,135964185;498,0095215;1,575102806;
496,9473877;0,1360709369;496,9473877;1,534703374;
496,0368042;0,1364657283;496,0368042;1,499221087;
494,9742432;0,1368919611;494,9742432;1,472768664;
494,0632935;0,1372504085;494,0632935;1,455119729;
493,0003052;0,1378927678;493,0003052;1,449372888;
491,9370728;0,1376743168;491,9370728;1,443810821;
491,0255432;0,138025403;491,0255432;1,446058512;
489,9618835;0,1390694678;489,9618835;1,445448756;
489,0499878;0,1393838227;489,0499878;1,443033457;
487,9859009;0,1393528134;487,9859009;1,437191486;
487,0736389;0,1397169381;487,0736389;1,432777882;
486,0091248;0,1407178342;486,0091248;1,419114351;
484,944397;0,1414249837;484,944397;1,39697206;
484,0315552;0,1412101388;484,0315552;1,377528787;
482,9664001;0,1423449367;482,9664001;1,347001076;
482,0532227;0,1433043927;482,0532227;1,325859189;
480,9876099;0,1441084146;480,9876099;1,29675889;
480,0740662;0,1454778165;480,0740662;1,272779822;
479,0080566;0,1467378289;479,0080566;1,248098254;
477,941803;0,1482065618;477,941803;1,231190681;
477,02771;0,1494368017;477,02771;1,219879627;
475,9610596;0,1510286331;475,9610596;1,213634729;
475,0466003;0,1523679942;475,0466003;1,210103631;
473,9795227;0,1543787271;473,9795227;1,207248688;
473,0647278;0,1561436057;473,0647278;1,206712365;
471,9972229;0,1580214202;471,9972229;1,206370711;
470,9295044;0,1599713266;470,9295044;1,204884768;
470,0141602;0,1615828574;470,0141602;1,201880336;
468,9460449;0,1636690944;468,9460449;1,196351171;
468,0303345;0,1655676365;468,0303345;1,188362479;
466,961792;0,167857483;466,961792;1,182901859;
466,0457153;0,1698060483;466,0457153;1,171501517;
464,9767761;0,1713770777;464,9767761;1,158354998;
464,0603638;0,1736188382;464,0603638;1,154277921;
462,9910278;0,1760028452;462,9910278;1,144707561;
462,0742798;0,1779865324;462,0742798;1,13693738;
461,0045166;0,1803089976;461,0045166;1,131286621;
459,9345398;0,1819022298;459,9345398;1,127865672;
459,0172424;0,1836457103;459,0172424;1,127346873;
457,9468689;0,1861641109;457,9468689;1,12734735;
457,0292358;0,1880810559;457,0292358;1,124280095;
455,9584656;0,1905650496;455,9584656;1,122364759;
455,0404663;0,1933513135;455,0404663;1,125446558;
453,9692993;0,1958132982;453,9692993;1,123587966;
453,0509949;0,1976226121;453,0509949;1,120602131;
451,9794006;0,2001717091;451,9794006;1,116444468;
451,0607605;0,2030039728;451,0607605;1,112122297;
449,9888;0,2061510831;449,9888;1,105762243;
449,0697937;0,2086732686;449,0697937;1,101146936;
447,9974365;0,211360231;447,9974365;1,096720099;
446,9248657;0,213903293;446,9248657;1,093313098;
446,0053406;0,2171409577;446,0053406;1,089763761;
444,932373;0,2208329886;444,932373;1,088106513;
444,0125122;0,2241380215;444,0125122;1,086354613;
442,9391785;0,2276476324;442,9391785;1,085274696;
442,0189819;0,2303249985;442,0189819;1,085167527;
440,9452515;0,2349117547;440,9452515;1,084033608;
440,0247498;0,2395139933;440,0247498;1,084170103;
438,9506226;0,2445739359;438,9506226;1,083760738;
438,0297546;0,2482622564;438,0297546;1,081940174;
436,9552612;0,2533136308;436,9552612;1,081504941;
436,0340881;0,2585436702;436,0340881;1,080361962;
434,959198;0,2648799419;434,959198;1,079643965;
