base;;ex;;
Wavelength (nm);Abs;Wavelength (nm);Abs;
599,9916992;0,1208395138;599,9916992;0,1485356092;
598,9547119;0,120758526;598,9547119;0,1489318013;
598,0656738;0,1203485802;598,0656738;0,1495108008;
597,0281372;0,1204745099;597,0281372;0,1504889429;
595,9903564;0,1203294545;595,9903564;0,1510801315;
594,9522705;0,1201817468;594,9522705;0,152537331;
594,0623169;0,1198443845;594,0623169;0,1530617177;
593,0236816;0,1198910177;593,0236816;0,1541937441;
591,9848022;0,11944177;591,9848022;0,1558358669;
590,9456787;0,1191526949;590,9456787;0,1579808295;
590,0547485;0,1192104593;590,0547485;0,159565866;
589,0150757;0,1189965978;589,0150757;0,1620807946;
587,9751587;0,118600592;587,9751587;0,1655346304;
586,9349365;0,1184574142;586,9349365;0,1684445739;
586,0430908;0,1184201837;586,0430908;0,1722573638;
585,0023193;0,1180372387;585,0023193;0,1781534404;
583,9613037;0,1177856922;583,9613037;0,1841025203;
583,0687866;0,1174853593;583,0687866;0,1900026649;
582,0272827;0,1173063293;582,0272827;0,1970211118;
580,9854736;0,116704382;580,9854736;0,205769375;
579,9434204;0,1165391058;579,9434204;0,2154424191;
579,0499878;0,1160444543;579,0499878;0,2258135229;
578,0073853;0,1160163879;578,0073853;0,2365728617;
576,9645386;0,1154437736;576,9645386;0,2493190616;
576,0704346;0,1149117798;576,0704346;0,2592009902;
575,0270996;0,1149462834;575,0270996;0,2706527412;
573,9834595;0,1145171523;573,9834595;0,2812600136;
572,9395752;0,113975212;572,9395752;0,2918337584;
572,0446167;0,1138219088;572,0446167;0,2997770011;
571,0001831;0,1135399789;571,0001831;0,307700336;
569,9555054;0,1130452305;569,9555054;0,3139081895;
569,0598755;0,1126947105;569,0598755;0,316731602;
568,0147095;0,1124009341;568,0147095;0,3193945885;
566,9692383;0,1117236018;566,9692383;0,3209496439;
566,072937;0,1113589853;566,072937;0,3214197755;
565,0270386;0,1109618247;565,0270386;0,3216100335;
563,980835;0,1105294302;563,980835;0,3212840259;
562,9343262;0,109969303;562,9343262;0,3213849962;
562,0371704;0,1094297841;562,0371704;0,3218532503;
560,9902344;0,1090701148;560,9902344;0,3235999346;
559,9429932;0,1085707247;559,9429932;0,3270753026;
559,045166;0,108078748;559,045166;0,3314353824;
557,9974365;0,1074167117;557,9974365;0,3380854726;
556,9494629;0,1070660576;556,9494629;0,3470460176;
556,0509644;0,1066352129;556,0509644;0,355776906;
555,0025024;0,1060119718;555,0025024;0,3698979914;
553,9537964;0,1053410321;553,9537964;0,3847645223;
553,0546875;0,1050703824;553,0546875;0,3984414339;
552,0054321;0,1044259146;552,0054321;0,4165357947;
550,9559937;0,1039317027;550,9559937;0,4324531555;
550,0562134;0,1035160348;550,0562134;0,4443302453;
549,0062866;0,1029920429;549,0062866;0,4582193196;
547,9560547;0,1025864258;547,9560547;0,4692509174;
547,0556641;0,1024270281;547,0556641;0,4756995142;
546,0049438;0,1021181121;546,0049438;0,4798462391;
544,9540405;0,1019007862;544,9540405;0,480096966;
544,0529785;0,1017486081;544,0529785;0,4789601564;
543,0015869;0,10153611;543,0015869;0,4741136134;
541,9498901;0,101415351;541,9498901;0,467474103;
541,0482178;0,1015252247;541,0482178;0,4615754783;
539,9960938;0,1013874337;539,9960938;0,4534577727;
538,9436646;0,101514332;538,9436646;0,4469593465;
538,0413818;0,1015738845;538,0413818;0,4430527091;
536,9885254;0,1017688662;536,9885254;0,4387121201;
535,9353638;0,1017867923;535,9353638;0,436386466;
535,0324707;0,1021747664;535,0324707;0,4383659661;
533,9788818;0,1025760323;533,9788818;0,4418548942;
532,9249878;0,1030097306;532,9249878;0,4472556412;
532,0214844;0,1032678708;532,0214844;0,4546039999;
530,9671631;0,1037623733;530,9671631;0,4662184715;
530,0632324;0,1042465195;530,0632324;0,4778783619;
529,0084839;0,1047922298;529,0084839;0,4873042703;
527,9534302;0,1053988039;527,9534302;0,4979670942;
527,0488892;0,1057910025;527,0488892;0,5044789314;
525,9934082;0,1061423793;525,9934082;0,5089445114;
524,9376221;0,1067406833;524,9376221;0,5117486119;
524,0325317;0,1072771028;524,0325317;0,5106704235;
522,9763184;0,1078432575;522,9763184;0,5061232448;
522,0708008;0,1083569601;522,0708008;0,5001019239;
521,0140991;0,1089777872;521,0140991;0,4906815588;
519,9572144;0,1094735488;519,9572144;0,4800126851;
519,0510864;0,1101946086;519,0510864;0,4695377648;
517,9937134;0,1107540578;517,9937134;0,4591596425;
516,9360962;0,1112565026;516,9360962;0,4490241706;
516,0293579;0,1115791574;516,0293579;0,4422600567;
514,9713135;0,1121789739;514,9713135;0,4363096654;
514,064209;0,1123747081;514,064209;0,4327774346;
513,0056763;0,1128690615;513,0056763;0,4309907556;
511,9468994;0,1131933555;511,9468994;0,4314714372;
511,0392151;0,1135553792;511,0392151;0,4342908561;
509,980011;0,1139096245;509,980011;0,4372061491;
509,0719299;0,1141873226;509,0719299;0,4402766526;
508,0122681;0,1145535409;508,0122681;0,4437933862;
506,9523621;0,1148985252;506,9523621;0,4459469318;
506,0437012;0,1150548384;506,0437012;0,4462273419;
504,9833679;0,115260452;504,9833679;0,4435784221;
504,0743103;0,115562655;504,0743103;0,4403634667;
503,0135498;0,1156471372;503,0135498;0,4345729649;
501,9525146;0,1158376858;501,9525146;0,426146239;
501,0428772;0,1160180122;501,0428772;0,4173304737;
499,9814148;0,1160660237;499,9814148;0,4071177542;
499,0714111;0,1161499992;499,0714111;0,3992148936;
498,0095215;0,1163357645;498,0095215;0,3904539049;
496,9473877;0,1162551716;496,9473877;0,3827919364;
496,0368042;0,1162965149;496,0368042;0,3758637309;
494,9742432;0,1162748933;494,9742432;0,3701966703;
494,0632935;0,1162335873;494,0632935;0,3667785525;
493,0003052;0,1162262112;493,0003052;0,3651518226;
491,9370728;0,1163445935;491,9370728;0,3641618192;
491,0255432;0,1164723188;491,0255432;0,3642280102;
489,9618835;0,1162672117;489,9618835;0,3641599715;
489,0499878;0,1160661951;489,0499878;0,3635645509;
487,9859009;0,1160487458;487,9859009;0,3624121547;
487,0736389;0,1161293015;487,0736389;0,3612949848;
486,0091248;0,1159135103;486,0091248;0,3580191731;
484,944397;0,1155825853;484,944397;0,3529321551;
484,0315552;0,115796864;484,0315552;0,3491133451;
482,9664001;0,1161423549;482,9664001;0,3439376354;
482,0532227;0,1161317378;482,0532227;0,339479059;
480,9876099;0,1161491573;480,9876099;0,333540976;
480,0740662;0,116531156;480,0740662;0,3288895786;
479,0080566;0,1168508083;479,0080566;0,3244255185;
477,941803;0,1172574982;477,941803;0,3213322163;
477,02771;0,1178233773;477,02771;0,3195447028;
475,9610596;0,1185208336;475,9610596;0,3183056414;
475,0466003;0,1191283762;475,0466003;0,3178469837;
473,9795227;0,1198736876;473,9795227;0,317884773;
473,0647278;0,120638825;473,0647278;0,3181494772;
471,9972229;0,1213468835;471,9972229;0,3183843195;
470,9295044;0,1224903464;470,9295044;0,3185301721;
470,0141602;0,1231714264;470,0141602;0,318446666;
468,9460449;0,1240730435;468,9460449;0,3174987733;
468,0303345;0,1249604449;468,0303345;0,3165629804;
466,961792;0,126038596;466,961792;0,3155454993;
466,0457153;0,1271154583;466,0457153;0,3141617179;
464,9767761;0,1277855933;464,9767761;0,311833024;
464,0603638;0,1287668049;464,0603638;0,3114014566;
462,9910278;0,1297003925;462,9910278;0,3100399673;
462,0742798;0,1305132657;462,0742798;0,3090613484;
461,0045166;0,1314644367;461,0045166;0,3082509339;
459,9345398;0,1324291229;459,9345398;0,3081949949;
459,0172424;0,1330860257;459,0172424;0,3084862232;
457,9468689;0,1339398324;457,9468689;0,3085999787;
457,0292358;0,1345456392;457,0292358;0,3082461357;
455,9584656;0,135500282;455,9584656;0,3086248636;
455,0404663;0,1365390718;455,0404663;0,3093423247;
453,9692993;0,1373978555;453,9692993;0,3092199266;
453,0509949;0,1381043047;453,0509949;0,3090388775;
451,9794006;0,1390322894;451,9794006;0,3086307943;
451,0607605;0,1400238574;451,0607605;0,3080978692;
449,9888;0,1409847438;449,9888;0,3072863221;
449,0697937;0,1417306662;449,0697937;0,3066449761;
447,9974365;0,142622292;447,9974365;0,3059899211;
446,9248657;0,1435461938;446,9248657;0,3055929542;
446,0053406;0,1445741355;446,0053406;0,3053761423;
444,932373;0,1454720944;444,932373;0,3051549792;
444,0125122;0,146468997;444,0125122;0,3050472438;
442,9391785;0,1472815275;442,9391785;0,3049989045;
442,0189819;0,1480936855;442,0189819;0,3049890399;
440,9452515;0,1493110508;440,9452515;0,3050482571;
440,0247498;0,1503699869;440,0247498;0,3052592576;
438,9506226;0,1518391371;438,9506226;0,3052753806;
