w;i;w1;i1;
556,9259644;-0,0003955127613;556,9259644;-0,003790408606;
556,0301514;-0,0002172842214;556,0301514;-0,003584763734;
554,9847412;-0,0003558380122;554,9847412;-0,003740520682;
553,9390259;-0,0003004321479;553,9390259;-0,00392079819;
553,0425415;-0,0001282201556;553,0425415;-0,003597856732;
551,9963989;-0,0004429935361;551,9963989;-0,004077819642;
550,9500122;-0,0002524183656;550,9500122;-0,003554468276;
550,0528564;-0,0005584153696;550,0528564;-0,003754327539;
549,0059814;-0,0001822507475;549,0059814;-0,003581477562;
547,9588013;-0,0003387669276;547,9588013;-0,003682362149;
547,0610352;-0,0004568540608;547,0610352;-0,003680976108;
546,0133667;-0,0004133057373;546,0133667;-0,003758177161;
544,9655151;-0,000348595815;544,9655151;-0,003708336735;
544,0670776;-0,0002660779865;544,0670776;-0,003797131591;
543,0187378;-0,0001453512668;543,0187378;-0,003693090985;
541,9700928;-0,0001892369619;541,9700928;-0,003774344455;
541,0710449;-0,000321902131;541,0710449;-0,003956711385;
540,0219727;3,132315032E-5;540,0219727;-0,003720245557;
538,9725952;-0,0003892540117;538,9725952;-0,003552311566;
538,072937;-0,0004161504621;538,072937;-0,003674661973;
537,0231323;-0,0003585279337;537,0231323;-0,003832028713;
535,9730225;-0,0004449588596;535,9730225;-0,003834235249;
535,0727539;-0,0003647354024;535,0727539;-0,003799851751;
534,0222168;0,0001019509073;534,0222168;-0,003504296532;
532,9713745;-0,0003287826257;532,9713745;-0,003688111668;
532,0704956;-0,0005664296332;532,0704956;-0,004058944993;
531,0192261;-0,0005527794128;531,0192261;-0,00403883867;
529,9677124;-0,0004695763637;529,9677124;-0,003890885506;
529,0661621;-0,0005413005129;529,0661621;-0,004115566146;
528,0141602;-0,0003190050193;528,0141602;-0,003641087096;
526,9619141;-0,0004384939384;526,9619141;-0,003838289296;
526,0598145;-0,0007177938824;526,0598145;-0,004263647832;
525,0071411;-0,0006703948602;525,0071411;-0,003920541611;
523,9541626;-0,0005491600023;523,9541626;-0,003817711025;
523,0514526;-0,0002828415018;523,0514526;-0,003693090985;
521,9980469;-0,0003088650701;521,9980469;-0,003555084579;
520,944397;-0,0002440360986;520,944397;-0,003731281497;
520,0410156;-0,0003888402134;520,0410156;-0,003647042438;
518,9869385;-0,0004226157034;518,9869385;-0,003493254771;
517,9325562;-0,0004295980616;517,9325562;-0,003734463826;
517,0286255;-0,0006760809338;517,0286255;-0,003570694476;
515,9738159;-0,0004689557827;515,9738159;-0,003738056868;
515,069519;-0,0007318523712;515,069519;-0,003752685152;
514,0142212;-0,0007353669498;514,0142212;-0,004173512571;
512,9587402;-0,000552003854;512,9587402;-0,003759049578;
512,053833;-0,0007687020698;512,053833;-0,003906483296;
510,9978638;-0,0004529235011;510,9978638;-0,003652073676;
509,9416809;-0,0005812168238;509,9416809;-0,00375176128;
509,0361633;-0,0002140759607;509,0361633;-0,003425509436;
507,9795227;-0,0005545891472;507,9795227;-0,003465829184;
507,0736389;-0,0005152908852;507,0736389;-0,003445079084;
506,0165405;-0,0001213882279;506,0165405;-0,003001745325;
504,959198;-0,0004775405687;504,959198;-0,003241737373;
504,0527344;-0,0001295658294;504,0527344;-0,002685991814;
502,9949646;-0,000250452169;502,9949646;-0,002890828298;
501,9369507;-0,0002308414696;501,9369507;-0,00255301781;
501,0299072;-0,0001733496174;501,0299072;-0,002424533479;
499,9714355;-0,0003948920639;499,9714355;-0,002260526875;
499,0640259;-0,0003046744969;499,0640259;-0,001979382941;
498,005127;0,0001034008674;498,005127;-0,001527791494;
496,9460144;-4,44698162E-5;496,9460144;-0,001344401506;
496,0379944;0,0001574929047;496,0379944;-0,0009520769818;
494,9784241;-8,707166853E-5;494,9784241;-0,0006906059571;
494,0700378;0,0002993190428;494,0700378;-3,950019163E-5;
493,0100708;0,0002383716346;493,0100708;0,0004189852334;
491,9498291;0,0003603008809;491,9498291;0,001053074375;
491,0408936;0,0008620812441;491,0408936;0,001699135173;
489,9802246;0,0007126037381;489,9802246;0,002944756765;
489,0708923;0,000871963508;489,0708923;0,004079521634;
488,0098267;0,0008605250041;488,0098267;0,005107290577;
486,9484863;0,00114766811;486,9484863;0,00631953124;
486,0386047;0,001034495421;486,0386047;0,007072529756;
484,9768677;0,001774947159;484,9768677;0,009244238026;
484,0666199;0,001754595898;484,0666199;0,0103524439;
483,0044556;0,00242536352;483,0044556;0,01331718173;
481,9420471;0,002864336595;481,9420471;0,01588460058;
481,03125;0,003191739088;481,03125;0,01763020456;
479,9684143;0,00349686807;479,9684143;0,02087151445;
479,057251;0,004200547934;479,057251;0,02405994944;
477,9940186;0,004789198283;477,9940186;0,02861633897;
476,930542;0,005386065226;476,930542;0,03167573363;
476,0188293;0,006156296469;476,0188293;0,03618647531;
474,9549255;0,007635607384;474,9549255;0,04103435203;
474,0428467;0,008018359542;474,0428467;0,04472926259;
472,9785461;0,009298687801;472,9785461;0,05098501593;
472,0661316;0,009721450508;472,0661316;0,05602455139;
471,0014038;0,01106292102;471,0014038;0,0636222586;
469,9364624;0,01217413321;469,9364624;0,0713866502;
469,023468;0,01356249768;469,023468;0,07742078602;
467,9581299;0,01475990377;467,9581299;0,08519241214;
467,0447998;0,01627996378;467,0447998;0,09329295158;
465,9790344;0,01772041805;465,9790344;0,1023366898;
465,0653381;0,01974614337;465,0653381;0,1117492467;
463,999176;0,02100339718;463,999176;0,1209243163;
462,9328003;0,02332047746;462,9328003;0,1312268376;
462,0185852;0,02460306697;462,0185852;0,1413370818;
460,9517822;0,02665572241;460,9517822;0,1532945484;
460,0372009;0,02858327143;460,0372009;0,1640692949;
458,9700012;0,03064484335;458,9700012;0,1780119687;
458,0550842;0,03229831159;458,0550842;0,1863738596;
456,9874878;0,03467972204;456,9874878;0,1976341605;
456,0722351;0,0366608128;456,0722351;0,2117640823;
455,0042419;0,0391591005;455,0042419;0,2253972739;
453,9360352;0,0419360511;453,9360352;0,2391204089;
453,0202332;0,04338109866;453,0202332;0,2504018545;
451,9516296;0,0456543453;451,9516296;0,2629659176;
451,0354919;0,04805247858;451,0354919;0,2749173641;
449,9664917;0,05076359957;449,9664917;0,2907657027;
449,0500183;0,05281510949;449,0500183;0,3037659526;
447,9806213;0,05504211038;447,9806213;0,316106081;
447,0638123;0,0570329763;447,0638123;0,3267373145;
445,9940186;0,058753483;445,9940186;0,3392598629;
444,9240112;0,06188812479;444,9240112;0,355114311;
444,0066833;0,0639782697;444,0066833;0,3685259521;
442,9363098;0,06630218774;442,9363098;0,380769819;
442,0186462;0,06783939898;442,0186462;0,3914875984;
440,9478455;0,06997933984;440,9478455;0,4027718604;
440,0298767;0,07220516354;440,0298767;0,414575547;
438,9587097;0,07433849573;438,9587097;0,4279417694;
438,0403748;0,0758414194;438,0403748;0,4384046793;
436,9688416;0,0784643814;436,9688416;0,4513190389;
436,0502014;0,07977372408;436,0502014;0,4592702091;
434,978241;0,08210545778;434,978241;0,4708097875;
434,0592651;0,0833870694;434,0592651;0,4813544452;
432,986969;0,08564266562;432,986969;0,4920749664;
432,0676575;0,08721020073;432,0676575;0,5018277764;
430,9949646;0,08873057365;430,9949646;0,5112218857;
430,0753479;0,09017509967;430,0753479;0,5185269713;
429,0022583;0,09180595726;429,0022583;0,5278708339;
427,9289856;0,09369210154;427,9289856;0,537352562;
427,0088501;0,09515486658;427,0088501;0,5443212986;
425,9352112;0,09652405977;425,9352112;0,5530321598;
425,0147705;0,09743415564;425,0147705;0,5590111613;
